순위	단어	품사	풀이	등급
1195	가게	명		1
898	가격03	명	價格	2
2986	가구03	명	家口	3
7434	가구04	명	家具	2
4964	가까워지다	동		2
1695	가까이	부		2
3560	가까이	명		2
648	가깝다	형		1
1747	가꾸다	동		2
852	가끔	부		1
5071	가난01	명		3
1716	가난하다	형		2
2757	가늘다	형		2
6942	가능	명	可能	3
483	가능성	명	可能性	2
501	가능하다	형	可能-	2
6003	가능해지다	동	可能-	3
25	가다01	동		1
150	가다01	보		1
1196	가득01	부	~ 차다	2
3561	가득하다01	형		2
7971	가득히	부		3
3173	가라앉다	동		3
6170	가려지다	동		3
1956	가령05	부	假令	3
9014	가로01	명	~와 세로	2
5311	가로등	명	街路燈	3
4576	가로막다	동		3
8286	가로수	명	街路樹	3
2789	가루01	명	분필 ~	2
4177	가르다	동		3
698	가르치다01	동		1
2884	가르침	명		3
2913	가리다02	동	시야를 ~	2
2305	가리다03	동	시비를 ~	2
1367	가리키다01	동		2
9888	가만	부		3
7158	가만있다	동		3
1706	가만히	부		2
4755	가뭄	명		3
1530	가방01	명	~을 메다	1
1189	가볍다	형		1
4483	가사09	명	歌詞	3
3784	가상05	명	假想	3
2000	가수11	명	歌手	1
2053	가스	명	g1s	2
384	가슴01	명		1
3904	가슴속	명		2
6526	가요02	명	歌謠	2
264	가운데	명		1
6172	가위01	명	기구	2
1268	가을01	명		1
5167	가이드	명	guide	2
4397	가입	명	加入	3
4484	가입자	명	加入者	3
5168	가입하다	동	加入-	3
127	가장01	부		1
3454	가장07	명	家長	3
715	가정06	명	家庭	2
4398	가정07	명	假定	3
6349	가정교사	명	家庭敎師	3
3512	가져가다	동		2
5704	가져다주다	동		2
1060	가져오다	동		1
409	가족01	명	家族	1
5072	가죽01	명		2
2124	가지01	명	~를 치다	2
129	가지04	의	한 ~	2
94	가지다	동		1
514	가지다	보		1
4668	가짜	명	假-	2
550	가치06	명	價値	3
3063	가치관	명	價値觀	3
8645	가톨릭	명	31tholi3	3
3099	가하다01	동	加-	3
422	각01	관	各	2
751	각각01	부	各各	2
4178	각각01	명	各各	2
2885	각국	명	各國	2
3213	각기02	부	各其	3
5706	각오01	명	覺悟	3
3785	각자02	명	各自	2
3562	각자02	부	各自	2
815	각종	명	各種	2
3905	간01	명	음식의 ~을 보다	3
3620	간08	명	肝	3
335	간10	의	間. 서울과 부산 ~	2
4179	간격02	명	間隔	3
1336	간단하다02	형	簡單-	2
2987	간단히	부	簡單-	2
2187	간부05	명	幹部	3
4577	간섭	명	干涉	3
8290	간식02	명	間食	2
4034	간신히	부	艱辛-	3
3100	간장01	명	-醬	2
4756	간접	명	間接	3
6735	간접적	명	間接的	3
3906	간판02	명	看板	3
7160	간편하다	형	簡便-	3
